"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"10.mean-2",10,66,0,3,1,60,"b.Mean","b.Kismet",FALSE
"13.mean-2",13,24,0,5,2,50,"b.Mean","b.Kismet",FALSE
"14.mean-2",14,36,1,3,2,5,"b.Mean","b.Kismet",FALSE
"16.mean-2",16,40,0,3,2,20,"b.Mean","b.Kismet",FALSE
"17.mean-2",17,19,0,5,2,20,"b.Mean","b.Kismet",FALSE
"24.mean-2",24,22,0,5,2,10,"b.Mean","b.Kismet",FALSE
"25.mean-2",25,20,0,5,2,50,"b.Mean","b.Kismet",FALSE
"33.mean-2",33,31,1,3,2,35,"b.Mean","b.Kismet",FALSE
"34.mean-2",34,42,1,3,1,50,"b.Mean","b.Kismet",FALSE
"35.mean-2",35,37,0,1,2,60,"b.Mean","b.Kismet",FALSE
"36.mean-2",36,24,1,3,2,100,"b.Mean","b.Kismet",FALSE
"37.mean-2",37,42,1,1,1,70,"b.Mean","b.Kismet",FALSE
"38.mean-2",38,32,0,3,1,10,"b.Mean","b.Kismet",FALSE
"39.mean-2",39,55,1,3,2,25,"b.Mean","b.Kismet",FALSE
"40.mean-2",40,48,0,1,1,65,"b.Mean","b.Kismet",FALSE
"41.mean-2",41,70,1,3,2,100,"b.Mean","b.Kismet",FALSE
"42.mean-2",42,65,0,4,2,30,"b.Mean","b.Kismet",FALSE
"46.mean-2",46,18,0,5,2,30,"b.Mean","b.Kismet",FALSE
"47.mean-2",47,21,0,2,2,20,"b.Mean","b.Kismet",FALSE
"48.mean-2",48,39,1,1,2,100,"b.Mean","b.Kismet",FALSE
"49.mean-2",49,32,1,5,2,30,"b.Mean","b.Kismet",FALSE
"50.mean-2",50,30,1,5,2,10,"b.Mean","b.Kismet",FALSE
"51.mean-2",51,24,0,5,2,0,"b.Mean","b.Kismet",FALSE
"52.mean-2",52,24,0,5,2,40,"b.Mean","b.Kismet",FALSE
"53.mean-2",53,24,0,5,2,60,"b.Mean","b.Kismet",FALSE
"54.mean-2",54,24,0,5,2,0,"b.Mean","b.Kismet",FALSE
"55.mean-2",55,24,0,5,2,80,"b.Mean","b.Kismet",FALSE
"56.mean-2",56,NA,0,5,2,50,"b.Mean","b.Kismet",NA
"57.mean-2",57,42,0,6,2,90,"b.Mean","b.Kismet",FALSE
"59.mean-2",59,43,0,3,1,30,"b.Mean","b.Kismet",FALSE
"60.mean-2",60,24,1,6,1,50,"b.Mean","b.Kismet",FALSE
"61.mean-2",61,NA,0,NA,NA,100,"b.Mean","b.Kismet",NA
"62.mean-2",62,50,0,3,1,80,"b.Mean","b.Kismet",FALSE
"67.mean-2",67,40,0,1,2,50,"b.Mean","b.Kismet",FALSE
"69.mean-2",69,43,0,4,2,20,"b.Mean","b.Kismet",FALSE
"70.mean-2",70,46,1,6,2,14,"b.Mean","b.Kismet",FALSE
"75.mean-2",75,48,1,1,1,65,"b.Mean","b.Kismet",FALSE
"76.mean-2",76,55,1,3,NA,25,"b.Mean","b.Kismet",FALSE
"77.mean-2",77,14,1,5,1,5,"b.Mean","b.Kismet",TRUE
"78.mean-2",78,70,0,2,1,75,"b.Mean","b.Kismet",FALSE
"79.mean-2",79,13,1,5,1,30,"b.Mean","b.Kismet",TRUE
"80.mean-2",80,71,1,6,2,70,"b.Mean","b.Kismet",FALSE
"81.mean-2",81,42,1,3,1,80,"b.Mean","b.Kismet",FALSE
"82.mean-2",82,25,1,3,2,50,"b.Mean","b.Kismet",FALSE
"88.mean-2",88,43,1,3,2,100,"b.Mean","b.Kismet",FALSE
"89.mean-2",89,24,0,3,2,50,"b.Mean","b.Kismet",FALSE
"90.mean-2",90,24,1,3,1,100,"b.Mean","b.Kismet",FALSE
"91.mean-2",91,NA,NA,NA,NA,30,"b.Mean","b.Kismet",NA
"10.nice-5",10,66,0,3,1,60,"a.Nice","e.Fashion.Doll",FALSE
"13.nice-5",13,24,0,5,2,75,"a.Nice","e.Fashion.Doll",FALSE
"14.nice-5",14,36,1,3,2,5,"a.Nice","e.Fashion.Doll",FALSE
"16.nice-5",16,40,0,3,2,10,"a.Nice","e.Fashion.Doll",FALSE
"17.nice-5",17,19,0,5,2,10,"a.Nice","e.Fashion.Doll",FALSE
"24.nice-5",24,22,0,5,2,10,"a.Nice","e.Fashion.Doll",FALSE
"25.nice-5",25,20,0,5,2,10,"a.Nice","e.Fashion.Doll",FALSE
"33.nice-5",33,31,1,3,2,60,"a.Nice","e.Fashion.Doll",FALSE
"34.nice-5",34,42,1,3,1,50,"a.Nice","e.Fashion.Doll",FALSE
"35.nice-5",35,37,0,1,2,75,"a.Nice","e.Fashion.Doll",FALSE
"36.nice-5",36,24,1,3,2,0,"a.Nice","e.Fashion.Doll",FALSE
"37.nice-5",37,42,1,1,1,40,"a.Nice","e.Fashion.Doll",FALSE
"38.nice-5",38,32,0,3,1,2,"a.Nice","e.Fashion.Doll",FALSE
"39.nice-5",39,55,1,3,2,50,"a.Nice","e.Fashion.Doll",FALSE
"40.nice-5",40,48,0,1,1,80,"a.Nice","e.Fashion.Doll",FALSE
"41.nice-5",41,70,1,3,2,60,"a.Nice","e.Fashion.Doll",FALSE
"42.nice-5",42,65,0,4,2,10,"a.Nice","e.Fashion.Doll",FALSE
"46.nice-5",46,18,0,5,2,20,"a.Nice","e.Fashion.Doll",FALSE
"47.nice-5",47,21,0,2,2,10,"a.Nice","e.Fashion.Doll",FALSE
"48.nice-5",48,39,1,1,2,100,"a.Nice","e.Fashion.Doll",FALSE
"49.nice-5",49,32,1,5,2,20,"a.Nice","e.Fashion.Doll",FALSE
"50.nice-5",50,30,1,5,2,10,"a.Nice","e.Fashion.Doll",FALSE
"51.nice-5",51,24,0,5,2,0,"a.Nice","e.Fashion.Doll",FALSE
"52.nice-5",52,24,0,5,2,49,"a.Nice","e.Fashion.Doll",FALSE
"53.nice-5",53,24,0,5,2,60,"a.Nice","e.Fashion.Doll",FALSE
"54.nice-5",54,24,0,5,2,0,"a.Nice","e.Fashion.Doll",FALSE
"55.nice-5",55,24,0,5,2,50,"a.Nice","e.Fashion.Doll",FALSE
"56.nice-5",56,NA,0,5,2,20,"a.Nice","e.Fashion.Doll",NA
"57.nice-5",57,42,0,6,2,100,"a.Nice","e.Fashion.Doll",FALSE
"59.nice-5",59,43,0,3,1,20,"a.Nice","e.Fashion.Doll",FALSE
"60.nice-5",60,24,1,6,1,75,"a.Nice","e.Fashion.Doll",FALSE
"61.nice-5",61,NA,0,NA,NA,30,"a.Nice","e.Fashion.Doll",NA
"62.nice-5",62,50,0,3,1,25,"a.Nice","e.Fashion.Doll",FALSE
"67.nice-5",67,40,0,1,2,40,"a.Nice","e.Fashion.Doll",FALSE
"69.nice-5",69,43,0,4,2,100,"a.Nice","e.Fashion.Doll",FALSE
"70.nice-5",70,46,1,6,2,28,"a.Nice","e.Fashion.Doll",FALSE
"75.nice-5",75,48,1,1,1,80,"a.Nice","e.Fashion.Doll",FALSE
"76.nice-5",76,55,1,3,NA,50,"a.Nice","e.Fashion.Doll",FALSE
"77.nice-5",77,14,1,5,1,25,"a.Nice","e.Fashion.Doll",TRUE
"78.nice-5",78,70,0,2,1,85,"a.Nice","e.Fashion.Doll",FALSE
"79.nice-5",79,13,1,5,1,70,"a.Nice","e.Fashion.Doll",TRUE
"80.nice-5",80,71,1,6,2,50,"a.Nice","e.Fashion.Doll",FALSE
"81.nice-5",81,42,1,3,1,40,"a.Nice","e.Fashion.Doll",FALSE
"82.nice-5",82,25,1,3,2,20,"a.Nice","e.Fashion.Doll",FALSE
"88.nice-5",88,43,1,3,2,0,"a.Nice","e.Fashion.Doll",FALSE
"89.nice-5",89,24,0,3,2,10,"a.Nice","e.Fashion.Doll",FALSE
"90.nice-5",90,24,1,3,1,20,"a.Nice","e.Fashion.Doll",FALSE
"91.nice-5",91,NA,NA,NA,NA,50,"a.Nice","e.Fashion.Doll",NA
"10.nice-3",10,66,0,3,1,50,"a.Nice","c.Big.Lips",FALSE
"13.nice-3",13,24,0,5,2,60,"a.Nice","c.Big.Lips",FALSE
"14.nice-3",14,36,1,3,2,5,"a.Nice","c.Big.Lips",FALSE
"16.nice-3",16,40,0,3,2,20,"a.Nice","c.Big.Lips",FALSE
"17.nice-3",17,19,0,5,2,10,"a.Nice","c.Big.Lips",FALSE
"24.nice-3",24,22,0,5,2,10,"a.Nice","c.Big.Lips",FALSE
"25.nice-3",25,20,0,5,2,75,"a.Nice","c.Big.Lips",FALSE
"33.nice-3",33,31,1,3,2,10,"a.Nice","c.Big.Lips",FALSE
"34.nice-3",34,42,1,3,1,75,"a.Nice","c.Big.Lips",FALSE
"35.nice-3",35,37,0,1,2,70,"a.Nice","c.Big.Lips",FALSE
"36.nice-3",36,24,1,3,2,50,"a.Nice","c.Big.Lips",FALSE
"37.nice-3",37,42,1,1,1,55,"a.Nice","c.Big.Lips",FALSE
"38.nice-3",38,32,0,3,1,1,"a.Nice","c.Big.Lips",FALSE
"39.nice-3",39,55,1,3,2,40,"a.Nice","c.Big.Lips",FALSE
"40.nice-3",40,48,0,1,1,60,"a.Nice","c.Big.Lips",FALSE
"41.nice-3",41,70,1,3,2,80,"a.Nice","c.Big.Lips",FALSE
"42.nice-3",42,65,0,4,2,80,"a.Nice","c.Big.Lips",FALSE
"46.nice-3",46,18,0,5,2,10,"a.Nice","c.Big.Lips",FALSE
"47.nice-3",47,21,0,2,2,50,"a.Nice","c.Big.Lips",FALSE
"48.nice-3",48,39,1,1,2,100,"a.Nice","c.Big.Lips",FALSE
"49.nice-3",49,32,1,5,2,50,"a.Nice","c.Big.Lips",FALSE
"50.nice-3",50,30,1,5,2,10,"a.Nice","c.Big.Lips",FALSE
"51.nice-3",51,24,0,5,2,0,"a.Nice","c.Big.Lips",FALSE
"52.nice-3",52,24,0,5,2,49,"a.Nice","c.Big.Lips",FALSE
"53.nice-3",53,24,0,5,2,60,"a.Nice","c.Big.Lips",FALSE
"54.nice-3",54,24,0,5,2,0,"a.Nice","c.Big.Lips",FALSE
"55.nice-3",55,24,0,5,2,50,"a.Nice","c.Big.Lips",FALSE
"56.nice-3",56,NA,0,5,2,10,"a.Nice","c.Big.Lips",NA
"57.nice-3",57,42,0,6,2,80,"a.Nice","c.Big.Lips",FALSE
"59.nice-3",59,43,0,3,1,40,"a.Nice","c.Big.Lips",FALSE
"60.nice-3",60,24,1,6,1,25,"a.Nice","c.Big.Lips",FALSE
"61.nice-3",61,NA,0,NA,NA,100,"a.Nice","c.Big.Lips",NA
"62.nice-3",62,50,0,3,1,25,"a.Nice","c.Big.Lips",FALSE
"67.nice-3",67,40,0,1,2,50,"a.Nice","c.Big.Lips",FALSE
"69.nice-3",69,43,0,4,2,50,"a.Nice","c.Big.Lips",FALSE
"70.nice-3",70,46,1,6,2,42,"a.Nice","c.Big.Lips",FALSE
"75.nice-3",75,48,1,1,1,60,"a.Nice","c.Big.Lips",FALSE
"76.nice-3",76,55,1,3,NA,40,"a.Nice","c.Big.Lips",FALSE
"77.nice-3",77,14,1,5,1,65,"a.Nice","c.Big.Lips",TRUE
"78.nice-3",78,70,0,2,1,100,"a.Nice","c.Big.Lips",FALSE
"79.nice-3",79,13,1,5,1,50,"a.Nice","c.Big.Lips",TRUE
"80.nice-3",80,71,1,6,2,40,"a.Nice","c.Big.Lips",FALSE
"81.nice-3",81,42,1,3,1,80,"a.Nice","c.Big.Lips",FALSE
"82.nice-3",82,25,1,3,2,40,"a.Nice","c.Big.Lips",FALSE
"88.nice-3",88,43,1,3,2,100,"a.Nice","c.Big.Lips",FALSE
"89.nice-3",89,24,0,3,2,15,"a.Nice","c.Big.Lips",FALSE
"90.nice-3",90,24,1,3,1,20,"a.Nice","c.Big.Lips",FALSE
"91.nice-3",91,NA,NA,NA,NA,70,"a.Nice","c.Big.Lips",NA
"10.mean-6",10,66,0,3,1,30,"b.Mean","f.Human",FALSE
"13.mean-6",13,24,0,5,2,75,"b.Mean","f.Human",FALSE
"14.mean-6",14,36,1,3,2,5,"b.Mean","f.Human",FALSE
"16.mean-6",16,40,0,3,2,0,"b.Mean","f.Human",FALSE
"17.mean-6",17,19,0,5,2,10,"b.Mean","f.Human",FALSE
"24.mean-6",24,22,0,5,2,10,"b.Mean","f.Human",FALSE
"25.mean-6",25,20,0,5,2,20,"b.Mean","f.Human",FALSE
"33.mean-6",33,31,1,3,2,25,"b.Mean","f.Human",FALSE
"34.mean-6",34,42,1,3,1,75,"b.Mean","f.Human",FALSE
"35.mean-6",35,37,0,1,2,60,"b.Mean","f.Human",FALSE
"36.mean-6",36,24,1,3,2,20,"b.Mean","f.Human",FALSE
"37.mean-6",37,42,1,1,1,10,"b.Mean","f.Human",FALSE
"38.mean-6",38,32,0,3,1,10,"b.Mean","f.Human",FALSE
"39.mean-6",39,55,1,3,2,60,"b.Mean","f.Human",FALSE
"40.mean-6",40,48,0,1,1,85,"b.Mean","f.Human",FALSE
"41.mean-6",41,70,1,3,2,40,"b.Mean","f.Human",FALSE
"42.mean-6",42,65,0,4,2,90,"b.Mean","f.Human",FALSE
"46.mean-6",46,18,0,5,2,50,"b.Mean","f.Human",FALSE
"47.mean-6",47,21,0,2,2,30,"b.Mean","f.Human",FALSE
"48.mean-6",48,39,1,1,2,100,"b.Mean","f.Human",FALSE
"49.mean-6",49,32,1,5,2,10,"b.Mean","f.Human",FALSE
"50.mean-6",50,30,1,5,2,10,"b.Mean","f.Human",FALSE
"51.mean-6",51,24,0,5,2,0,"b.Mean","f.Human",FALSE
"52.mean-6",52,24,0,5,2,10,"b.Mean","f.Human",FALSE
"53.mean-6",53,24,0,5,2,60,"b.Mean","f.Human",FALSE
"54.mean-6",54,24,0,5,2,0,"b.Mean","f.Human",FALSE
"55.mean-6",55,24,0,5,2,30,"b.Mean","f.Human",FALSE
"56.mean-6",56,NA,0,5,2,15,"b.Mean","f.Human",NA
"57.mean-6",57,42,0,6,2,30,"b.Mean","f.Human",FALSE
"59.mean-6",59,43,0,3,1,30,"b.Mean","f.Human",FALSE
"60.mean-6",60,24,1,6,1,40,"b.Mean","f.Human",FALSE
"61.mean-6",61,NA,0,NA,NA,50,"b.Mean","f.Human",NA
"62.mean-6",62,50,0,3,1,0,"b.Mean","f.Human",FALSE
"67.mean-6",67,40,0,1,2,30,"b.Mean","f.Human",FALSE
"69.mean-6",69,43,0,4,2,50,"b.Mean","f.Human",FALSE
"70.mean-6",70,46,1,6,2,70,"b.Mean","f.Human",FALSE
"75.mean-6",75,48,1,1,1,85,"b.Mean","f.Human",FALSE
"76.mean-6",76,55,1,3,NA,60,"b.Mean","f.Human",FALSE
"77.mean-6",77,14,1,5,1,31,"b.Mean","f.Human",TRUE
"78.mean-6",78,70,0,2,1,10,"b.Mean","f.Human",FALSE
"79.mean-6",79,13,1,5,1,5,"b.Mean","f.Human",TRUE
"80.mean-6",80,71,1,6,2,45,"b.Mean","f.Human",FALSE
"81.mean-6",81,42,1,3,1,40,"b.Mean","f.Human",FALSE
"82.mean-6",82,25,1,3,2,20,"b.Mean","f.Human",FALSE
"88.mean-6",88,43,1,3,2,0,"b.Mean","f.Human",FALSE
"89.mean-6",89,24,0,3,2,10,"b.Mean","f.Human",FALSE
"90.mean-6",90,24,1,3,1,20,"b.Mean","f.Human",FALSE
"91.mean-6",91,NA,NA,NA,NA,50,"b.Mean","f.Human",NA
"10.nice-1",10,66,0,3,1,50,"a.Nice","a.Cog",FALSE
"13.nice-1",13,24,0,5,2,40,"a.Nice","a.Cog",FALSE
"14.nice-1",14,36,1,3,2,5,"a.Nice","a.Cog",FALSE
"16.nice-1",16,40,0,3,2,30,"a.Nice","a.Cog",FALSE
"17.nice-1",17,19,0,5,2,20,"a.Nice","a.Cog",FALSE
"24.nice-1",24,22,0,5,2,10,"a.Nice","a.Cog",FALSE
"25.nice-1",25,20,0,5,2,50,"a.Nice","a.Cog",FALSE
"33.nice-1",33,31,1,3,2,75,"a.Nice","a.Cog",FALSE
"34.nice-1",34,42,1,3,1,40,"a.Nice","a.Cog",FALSE
"35.nice-1",35,37,0,1,2,80,"a.Nice","a.Cog",FALSE
"36.nice-1",36,24,1,3,2,80,"a.Nice","a.Cog",FALSE
"37.nice-1",37,42,1,1,1,85,"a.Nice","a.Cog",FALSE
"38.nice-1",38,32,0,3,1,6,"a.Nice","a.Cog",FALSE
"39.nice-1",39,55,1,3,2,40,"a.Nice","a.Cog",FALSE
"40.nice-1",40,48,0,1,1,60,"a.Nice","a.Cog",FALSE
"41.nice-1",41,70,1,3,2,50,"a.Nice","a.Cog",FALSE
"42.nice-1",42,65,0,4,2,40,"a.Nice","a.Cog",FALSE
"46.nice-1",46,18,0,5,2,50,"a.Nice","a.Cog",FALSE
"47.nice-1",47,21,0,2,2,50,"a.Nice","a.Cog",FALSE
"48.nice-1",48,39,1,1,2,100,"a.Nice","a.Cog",FALSE
"49.nice-1",49,32,1,5,2,100,"a.Nice","a.Cog",FALSE
"50.nice-1",50,30,1,5,2,10,"a.Nice","a.Cog",FALSE
"51.nice-1",51,24,0,5,2,0,"a.Nice","a.Cog",FALSE
"52.nice-1",52,24,0,5,2,49,"a.Nice","a.Cog",FALSE
"53.nice-1",53,24,0,5,2,60,"a.Nice","a.Cog",FALSE
"54.nice-1",54,24,0,5,2,0,"a.Nice","a.Cog",FALSE
"55.nice-1",55,24,0,5,2,80,"a.Nice","a.Cog",FALSE
"56.nice-1",56,NA,0,5,2,15,"a.Nice","a.Cog",NA
"57.nice-1",57,42,0,6,2,50,"a.Nice","a.Cog",FALSE
"59.nice-1",59,43,0,3,1,10,"a.Nice","a.Cog",FALSE
"60.nice-1",60,24,1,6,1,2,"a.Nice","a.Cog",FALSE
"61.nice-1",61,NA,0,NA,NA,10,"a.Nice","a.Cog",NA
"62.nice-1",62,50,0,3,1,50,"a.Nice","a.Cog",FALSE
"67.nice-1",67,40,0,1,2,75,"a.Nice","a.Cog",FALSE
"69.nice-1",69,43,0,4,2,10,"a.Nice","a.Cog",FALSE
"70.nice-1",70,46,1,6,2,84,"a.Nice","a.Cog",FALSE
"75.nice-1",75,48,1,1,1,60,"a.Nice","a.Cog",FALSE
"76.nice-1",76,55,1,3,NA,40,"a.Nice","a.Cog",FALSE
"77.nice-1",77,14,1,5,1,1,"a.Nice","a.Cog",TRUE
"78.nice-1",78,70,0,2,1,100,"a.Nice","a.Cog",FALSE
"79.nice-1",79,13,1,5,1,10,"a.Nice","a.Cog",TRUE
"80.nice-1",80,71,1,6,2,50,"a.Nice","a.Cog",FALSE
"81.nice-1",81,42,1,3,1,50,"a.Nice","a.Cog",FALSE
"82.nice-1",82,25,1,3,2,50,"a.Nice","a.Cog",FALSE
"88.nice-1",88,43,1,3,2,100,"a.Nice","a.Cog",FALSE
"89.nice-1",89,24,0,3,2,80,"a.Nice","a.Cog",FALSE
"90.nice-1",90,24,1,3,1,20,"a.Nice","a.Cog",FALSE
"91.nice-1",91,NA,NA,NA,NA,30,"a.Nice","a.Cog",NA
"10.mean-4",10,66,0,3,1,60,"b.Mean","d.K.bot",FALSE
"13.mean-4",13,24,0,5,2,10,"b.Mean","d.K.bot",FALSE
"14.mean-4",14,36,1,3,2,5,"b.Mean","d.K.bot",FALSE
"16.mean-4",16,40,0,3,2,10,"b.Mean","d.K.bot",FALSE
"17.mean-4",17,19,0,5,2,10,"b.Mean","d.K.bot",FALSE
"24.mean-4",24,22,0,5,2,10,"b.Mean","d.K.bot",FALSE
"25.mean-4",25,20,0,5,2,10,"b.Mean","d.K.bot",FALSE
"33.mean-4",33,31,1,3,2,90,"b.Mean","d.K.bot",FALSE
"34.mean-4",34,42,1,3,1,30,"b.Mean","d.K.bot",FALSE
"35.mean-4",35,37,0,1,2,55,"b.Mean","d.K.bot",FALSE
"36.mean-4",36,24,1,3,2,30,"b.Mean","d.K.bot",FALSE
"37.mean-4",37,42,1,1,1,25,"b.Mean","d.K.bot",FALSE
"38.mean-4",38,32,0,3,1,4,"b.Mean","d.K.bot",FALSE
"39.mean-4",39,55,1,3,2,30,"b.Mean","d.K.bot",FALSE
"40.mean-4",40,48,0,1,1,30,"b.Mean","d.K.bot",FALSE
"41.mean-4",41,70,1,3,2,20,"b.Mean","d.K.bot",FALSE
"42.mean-4",42,65,0,4,2,20,"b.Mean","d.K.bot",FALSE
"46.mean-4",46,18,0,5,2,10,"b.Mean","d.K.bot",FALSE
"47.mean-4",47,21,0,2,2,20,"b.Mean","d.K.bot",FALSE
"48.mean-4",48,39,1,1,2,100,"b.Mean","d.K.bot",FALSE
"49.mean-4",49,32,1,5,2,20,"b.Mean","d.K.bot",FALSE
"50.mean-4",50,30,1,5,2,10,"b.Mean","d.K.bot",FALSE
"51.mean-4",51,24,0,5,2,0,"b.Mean","d.K.bot",FALSE
"52.mean-4",52,24,0,5,2,0,"b.Mean","d.K.bot",FALSE
"53.mean-4",53,24,0,5,2,60,"b.Mean","d.K.bot",FALSE
"54.mean-4",54,24,0,5,2,0,"b.Mean","d.K.bot",FALSE
"55.mean-4",55,24,0,5,2,50,"b.Mean","d.K.bot",FALSE
"56.mean-4",56,NA,0,5,2,0,"b.Mean","d.K.bot",NA
"57.mean-4",57,42,0,6,2,70,"b.Mean","d.K.bot",FALSE
"59.mean-4",59,43,0,3,1,5,"b.Mean","d.K.bot",FALSE
"60.mean-4",60,24,1,6,1,5,"b.Mean","d.K.bot",FALSE
"61.mean-4",61,NA,0,NA,NA,25,"b.Mean","d.K.bot",NA
"62.mean-4",62,50,0,3,1,0,"b.Mean","d.K.bot",FALSE
"67.mean-4",67,40,0,1,2,40,"b.Mean","d.K.bot",FALSE
